Lambda_GeV,mrho_GeV,theta_rad,theta_deg,Deltakappa_pct,sigmaBR_WW_fb
3564.102564102564,1179.4871794871794,-0.7196803450186396,-41.23464636808699,-24.798353367716008,11.542877680207857
3653.846153846154,1179.4871794871794,-0.722834934714266,-41.415391043741835,-25.006660192656494,11.617357616430876
3743.5897435897436,1179.4871794871794,-0.7257698819411831,-41.583551132937814,-25.201133580987122,11.686704948748918
3833.333333333333,1179.4871794871794,-0.7285048364157406,-41.74025248149038,-25.382935175672394,11.75137079345832
3923.076923076923,1179.4871794871794,-0.7310573394474498,-41.886500132401665,-25.5531121635192,11.811759235593266
4012.8205128205127,1179.4871794871794,-0.7334430829227973,-42.02319316453995,-25.712609752037395,11.868232845787743
4102.5641025641025,1179.4871794871794,-0.73567613317909,-42.15113751966613,-25.862282235473554,11.921117503659467
4192.3076923076915,1179.4871794871794,-0.7377691248451147,-42.2710571086854,-26.002902797470938,11.970706615428561
4282.051282051281,1179.4871794871794,-0.7397334289736901,-42.38360344493289,-26.135172188973897,12.017264803713548
4371.794871794871,1179.4871794871794,-0.7415792991459051,-42.4893640153299,-26.259726408936544,12.061031138127912
4461.538461538461,1179.4871794871794,-0.7433159986760837,-42.58886956869148,-26.377143503500466,12.102221966703432
4551.282051282051,1179.4871794871794,-0.7449519115783033,-42.68260047363967,-26.487949587429572,12.141033400408887
4641.025641025641,1179.4871794871794,-0.746494639558232,-42.77099227582632,-26.59262418023515,12.17764349613544
4730.7692307692305,1179.4871794871794,-0.747951086957856,-42.85444056490758,-26.6916049388649,12.212214177452886
4820.51282051282,1179.4871794871794,-0.7493275352962039,-42.93330524541271,-26.78529185919295,12.244892927142043
4910.25641025641,1179.4871794871794,-0.7506297088085202,-43.007914291862164,-26.87405100986805,12.275814280906387
5000.0,1179.4871794871794,-0.7518628321826837,-43.07856705682066,-26.958217854333675,12.305101147682478
1500.0,1358.974358974359,-0.3943146765119504,-22.59256676420109,-7.67399343184394,3.497130584688222
1589.7435897435898,1358.974358974359,-0.4232918631557607,-24.252837261054278,-8.825829615238955,3.8260984309619017
1679.4871794871794,1358.974358974359,-0.4503096188801457,-25.80084063597696,-9.968761434690787,4.148441048222454
1769.2307692307693,1358.974358974359,-0.4753088188143015,-27.233189283407814,-11.084855549708427,4.459290416924467
1858.974358974359,1358.974358974359,-0.4983059426851481,-28.550827422146885,-12.16065234136573,4.755246282463781
